Event,Obs,Q,Type,Loc/Freq,Particulars_a,begin_datetime,max_datetime,end_datetime
4130,G15,5,XRA,1-8A,C4.6,2015-01-03 06:13:00,2015-01-03 06:17:00,2015-01-03 06:20:00
4150,G15,5,XRA,1-8A,C3.8,2015-01-03 06:43:00,2015-01-03 06:49:00,2015-01-03 06:53:00
4150,LEA,3,FLA,S06E20,SF,2015-01-03 06:46:00,2015-01-03 06:49:00,2015-01-03 06:58:00
4160,LEA,C,RSP,032-075,VI/1,2015-01-03 06:57:00,,2015-01-03 07:13:00
4160,G15,5,XRA,1-8A,C2.4,2015-01-03 07:05:00,2015-01-03 07:15:00,2015-01-03 07:28:00
4160,LEA,3,FLA,S05E22,SF,2015-01-03 07:08:00,2015-01-03 07:24:00,2015-01-03 07:35:00
4170,LEA,C,RSP,034-080,VI/1,2015-01-03 07:57:00,,2015-01-03 08:34:00
4220,SVI,C,RSP,118-171,CTM/1,2015-01-03 08:52:00,,2015-01-03 11:41:00
4180,SVI,G,RBR,245,100,2015-01-03 09:10:00,2015-01-03 09:10:00,2015-01-03 09:10:00
4190,SVI,G,RBR,245,100,2015-01-03 09:15:00,2015-01-03 09:15:00,2015-01-03 09:15:00
4200,G15,5,XRA,1-8A,M1.1,2015-01-03 09:40:00,2015-01-03 09:47:00,2015-01-03 09:50:00
4200,SVI,3,FLA,S04E17,1N,2015-01-03 09:44:00,2015-01-03 09:47:00,2015-01-03 09:57:00
4200,SVI,G,RBR,8800,140,2015-01-03 09:45:00,2015-01-03 09:45:00,2015-01-03 09:47:00
4200,SVI,G,RBR,15400,100,2015-01-03 09:45:00,2015-01-03 09:46:00,2015-01-03 09:47:00
4200,SVI,G,RBR,4995,140,2015-01-03 09:45:00,2015-01-03 09:45:00,2015-01-03 09:47:00
4200,SVI,G,RBR,2695,57,2015-01-03 09:46:00,2015-01-03 09:46:00,2015-01-03 09:47:00
4210,SVI,3,FLA,S04E16,SF,2015-01-03 10:00:00,2015-01-03 10:01:00,2015-01-03 10:05:00
4230,G15,5,XRA,1-8A,C1.7,2015-01-03 10:28:00,2015-01-03 10:39:00,2015-01-03 10:44:00
4400,LEA,3,DSF,S25W06,6,2015-01-03 10:35:00,,2015-01-03 22:22:00
4230,SVI,3,FLA,S05E16,SF,2015-01-03 10:37:00,2015-01-03 10:43:00,2015-01-03 10:57:00
4240,SVI,3,FLA,S04E14,SF,2015-01-03 12:44:00,2015-01-03 12:44:00,2015-01-03 12:46:00
4250,G15,5,XRA,1-8A,C1.8,2015-01-03 13:37:00,2015-01-03 14:13:00,2015-01-03 14:26:00
4250,SVI,3,FLA,S05E16,SF,2015-01-03 13:39:00,2015-01-03 13:40:00,2015-01-03 13:50:00
4250,SAG,C,RSP,066-180,III/2,2015-01-03 13:56:00,,2015-01-03 13:57:00
4250,SAG,G,RBR,245,190,2015-01-03 14:11:00,2015-01-03 14:11:00,2015-01-03 14:11:00
4250,SAG,C,RSP,025-180,CTM/2,2015-01-03 14:14:00,,2015-01-03 21:10:00
4360,SAG,G,RNS,245,660,2015-01-03 14:37:00,2015-01-03 14:45:00,2015-01-03 17:47:00
4260,HOL,1,FLA,S05E38,SF,2015-01-03 14:58:00,2015-01-03 15:05:00,2015-01-03 15:10:00
4260,SAG,C,RSP,025-180,III/1,2015-01-03 15:06:00,,2015-01-03 15:07:00
4270,HOL,2,FLA,S07E13,SF,2015-01-03 15:27:00,2015-01-03 15:28:00,2015-01-03 15:31:00
4410,PAL,C,RSP,100-180,CTM/1,2015-01-03 17:24:00,,2015-01-03 23:59:00
4290,PAL,G,RBR,245,120,2015-01-03 18:00:00,2015-01-03 18:00:00,2015-01-03 18:00:00
4310,PAL,C,RSP,025-075,III/1,2015-01-03 18:42:00,,2015-01-03 18:42:00
4310,SAG,G,RBR,245,150,2015-01-03 18:42:00,2015-01-03 18:42:00,2015-01-03 18:42:00
4320,SAG,G,RBR,245,140,2015-01-03 18:56:00,2015-01-03 18:56:00,2015-01-03 18:56:00
4340,SAG,G,RBR,245,110,2015-01-03 19:00:00,2015-01-03 19:00:00,2015-01-03 19:00:00
4370,G15,5,XRA,1-8A,C1.3,2015-01-03 21:26:00,2015-01-03 22:23:00,2015-01-03 22:42:00
4370,LEA,C,RSP,074-180,CTM/1,2015-01-03 22:02:00,,2015-01-03 23:59:00
4370,LEA,C,RSP,028-180,VI/1,2015-01-03 22:13:00,,2015-01-03 23:59:00
4370,LEA,3,FLA,S05E12,SF,2015-01-03 22:26:00,2015-01-03 22:33:00,2015-01-03 22:37:00
4380,LEA,G,RBR,245,640,2015-01-03 23:04:00,2015-01-03 23:04:00,2015-01-03 23:04:00
4390,G15,5,XRA,1-8A,C1.0,2015-01-03 23:05:00,2015-01-03 23:22:00,2015-01-03 23:39:00
4390,LEA,3,FLA,S05E11,SF,2015-01-03 23:11:00,2015-01-03 23:11:00,2015-01-03 23:15:00
4390,LEA,U,RBR,245,560,2015-01-03 23:24:00,2015-01-03 23:24:00,2015-01-03 23:24:00
4460,LEA,C,RSP,074-180,CTM/1,2015-01-04 00:00:00,,2015-01-04 10:54:00
4600,LEA,C,RSP,028-180,VI/1,2015-01-04 00:00:00,,2015-01-04 10:54:00
4420,G15,5,XRA,1-8A,C1.1,2015-01-04 00:05:00,2015-01-04 00:09:00,2015-01-04 00:12:00
4420,PAL,G,RBR,245,130,2015-01-04 00:06:00,2015-01-04 00:07:00,2015-01-04 00:07:00
4420,LEA,3,FLA,S04E04,SF,2015-01-04 00:07:00,2015-01-04 00:09:00,2015-01-04 00:13:00
4430,G15,5,XRA,1-8A,C1.5,2015-01-04 00:32:00,2015-01-04 00:53:00,2015-01-04 01:28:00
4440,LEA,G,RBR,245,110,2015-01-04 02:03:00,2015-01-04 02:03:00,2015-01-04 02:03:00
4470,LEA,3,FLA,S21W67,SF,2015-01-04 03:29:00,2015-01-04 03:30:00,2015-01-04 03:34:00
4490,G15,5,XRA,1-8A,C2.1,2015-01-04 04:16:00,2015-01-04 04:52:00,2015-01-04 05:20:00
4480,LEA,3,FLA,S08W66,SF,2015-01-04 04:21:00,2015-01-04 04:23:00,2015-01-04 04:31:00
4490,LEA,3,FLA,S07E10,SF,2015-01-04 04:35:00,2015-01-04 04:51:00,2015-01-04 05:30:00
4520,LEA,3,FLA,S15E53,SF,2015-01-04 04:41:00,2015-01-04 04:41:00,2015-01-04 04:45:00
4500,LEA,U,RBR,245,240,2015-01-04 05:40:00,2015-01-04 05:40:00,2015-01-04 05:40:00
4510,LEA,3,FLA,S08W67,SF,2015-01-04 05:54:00,2015-01-04 06:39:00,2015-01-04 06:57:00
4510,SVI,C,RSP,074-173,CTM/1,2015-01-04 06:46:00,,2015-01-04 12:18:00
